week,date,pres,task,case_study,datacamp,package
1,8/26/19,PS_01,TK_01,CS_01,,
2,9/2/19,,,,,
3,9/9/19,,,,,1
4,9/16/19,,,,,2
5,9/23/19,,,,,3
6,9/30/19,,,,,4
7,10/7/19,,,,,5
8,10/14/19,,,,,6
9,10/21/19,,,,,7
10,10/28/19,,,,,8
11,11/4/19,,,,,9
12,11/11/19,,,,,10
13,11/18/19,,,,,
14,11/25/19,,,,,
15,12/2/19,,,,,
16,12/9/19,,,,,
